,ts_code,ann_date,nav_date,unit_nav,accum_nav,accum_div,net_asset,total_netasset,adj_nav,update_flag
0,161130.SZ,20240119,20240117,2.7492,2.7492,,,,2.7492,0
1,161130.SZ,20240118,20240116,2.7629,2.7629,,,,2.7629,0
2,161130.SZ,20240117,20240115,2.7615,2.7615,,,,2.7615,0
3,161130.SZ,20240116,20240112,2.7603,2.7603,,,,2.7603,0
4,161130.SZ,20240113,20240111,2.7598,2.7598,,,,2.7598,0
5,161130.SZ,20240112,20240110,2.7544,2.7544,,,,2.7544,0
6,161130.SZ,20240111,20240109,2.735,2.735,,,,2.735,0
7,161130.SZ,20240110,20240108,2.7302,2.7302,,,,2.7302,0
8,161130.SZ,20240109,20240105,2.6777,2.6777,,,,2.6777,0
9,161130.SZ,20240106,20240104,2.6727,2.6727,,,,2.6727,0
10,161130.SZ,20240105,20240103,2.6865,2.6865,,,,2.6865,0
11,161130.SZ,20240104,20240102,2.7052,2.7052,,,,2.7052,0
12,161130.SZ,20240103,20231231,2.7511,2.7511,,,,2.7511,0
13,161130.SZ,20240119,20231231,2.7511,2.7511,,780932280.51,789493965.22,2.7511,1
14,161130.SZ,20240103,20231229,2.751,2.751,,,,2.751,0
15,161130.SZ,20231230,20231228,2.7675,2.7675,,,,2.7675,0
16,161130.SZ,20231229,20231227,2.77,2.77,,,,2.77,0
17,161130.SZ,20231228,20231226,2.7643,2.7643,,,,2.7643,0
18,161130.SZ,20231227,20231225,2.7504,2.7504,,,,2.7504,0
19,161130.SZ,20231226,20231222,2.7487,2.7487,,,,2.7487,0
20,161130.SZ,20231223,20231221,2.7478,2.7478,,,,2.7478,0
21,161130.SZ,20231222,20231220,2.7155,2.7155,,,,2.7155,0
22,161130.SZ,20231221,20231219,2.7564,2.7564,,,,2.7564,0
23,161130.SZ,20231220,20231218,2.7413,2.7413,,,,2.7413,0
24,161130.SZ,20231219,20231215,2.7255,2.7255,,,,2.7255,0
25,161130.SZ,20231216,20231214,2.718,2.718,,,,2.718,0
26,161130.SZ,20231215,20231213,2.7232,2.7232,,,,2.7232,0
27,161130.SZ,20231214,20231212,2.6925,2.6925,,,,2.6925,0
28,161130.SZ,20231213,20231211,2.6711,2.6711,,,,2.6711,0
29,161130.SZ,20231212,20231208,2.6474,2.6474,,,,2.6474,0
30,161130.SZ,20231209,20231207,2.6394,2.6394,,,,2.6394,0
31,161130.SZ,20231208,20231206,2.6015,2.6015,,,,2.6015,0
32,161130.SZ,20231207,20231205,2.6152,2.6152,,,,2.6152,0
33,161130.SZ,20231206,20231204,2.6054,2.6054,,,,2.6054,0
34,161130.SZ,20231205,20231201,2.6331,2.6331,,,,2.6331,0
35,161130.SZ,20231202,20231130,2.6225,2.6225,,,,2.6225,0
36,161130.SZ,20231201,20231129,2.6289,2.6289,,,,2.6289,0
37,161130.SZ,20231130,20231128,2.6356,2.6356,,,,2.6356,0
38,161130.SZ,20231129,20231127,2.6285,2.6285,,,,2.6285,0
39,161130.SZ,20231128,20231124,2.6312,2.6312,,,,2.6312,0
40,161130.SZ,20231125,20231123,2.6362,2.6362,,,,2.6362,0
41,161130.SZ,20231124,20231122,2.6379,2.6379,,,,2.6379,0
42,161130.SZ,20231123,20231121,2.6327,2.6327,,,,2.6327,0
43,161130.SZ,20231122,20231120,2.6557,2.6557,,,,2.6557,0
44,161130.SZ,20231121,20231117,2.6306,2.6306,,,,2.6306,0
45,161130.SZ,20231118,20231116,2.6296,2.6296,,,,2.6296,0
46,161130.SZ,20231117,20231115,2.6282,2.6282,,,,2.6282,0
47,161130.SZ,20231116,20231114,2.6279,2.6279,,,,2.6279,0
48,161130.SZ,20231115,20231113,2.5757,2.5757,,,,2.5757,0
49,161130.SZ,20231114,20231110,2.583,2.583,,,,2.583,0
50,161130.SZ,20231111,20231109,2.528,2.528,,,,2.528,0
51,161130.SZ,20231110,20231108,2.5473,2.5473,,,,2.5473,0
52,161130.SZ,20231109,20231107,2.5449,2.5449,,,,2.5449,0
53,161130.SZ,20231108,20231106,2.5226,2.5226,,,,2.5226,0
54,161130.SZ,20231107,20231103,2.5144,2.5144,,,,2.5144,0
55,161130.SZ,20231104,20231102,2.4858,2.4858,,,,2.4858,0
56,161130.SZ,20231103,20231101,2.4447,2.4447,,,,2.4447,0
57,161130.SZ,20231102,20231031,2.4041,2.4041,,,,2.4041,0
58,161130.SZ,20231101,20231030,2.3927,2.3927,,,,2.3927,0
59,161130.SZ,20231031,20231027,2.3675,2.3675,,,,2.3675,0
60,161130.SZ,20231028,20231026,2.3565,2.3565,,,,2.3565,0
61,161130.SZ,20231027,20231025,2.3998,2.3998,,,,2.3998,0
62,161130.SZ,20231026,20231024,2.4575,2.4575,,,,2.4575,0
63,161130.SZ,20231025,20231023,2.4352,2.4352,,,,2.4352,0
64,161130.SZ,20231024,20231020,2.4283,2.4283,,,,2.4283,0
65,161130.SZ,20231021,20231019,2.4633,2.4633,,,,2.4633,0
66,161130.SZ,20231020,20231018,2.483,2.483,,,,2.483,0
67,161130.SZ,20231019,20231017,2.5165,2.5165,,,,2.5165,0
68,161130.SZ,20231018,20231016,2.5244,2.5244,,,,2.5244,0
69,161130.SZ,20231017,20231013,2.4957,2.4957,,,,2.4957,0
70,161130.SZ,20231014,20231012,2.5256,2.5256,,,,2.5256,0
71,161130.SZ,20231013,20231011,2.5348,2.5348,,,,2.5348,0
72,161130.SZ,20231012,20231010,2.5174,2.5174,,,,2.5174,0
73,161130.SZ,20231011,20231009,2.5044,2.5044,,,,2.5044,0
74,161130.SZ,20231025,20230930,2.452,2.452,,766695412.42,775684338.57,2.452,0
75,161130.SZ,20231010,20230928,2.4502,2.4502,,,,2.4502,0
76,161130.SZ,20230929,20230927,2.428,2.428,,,,2.428,0
77,161130.SZ,20230928,20230926,2.423,2.423,,,,2.423,0
78,161130.SZ,20230927,20230925,2.4583,2.4583,,,,2.4583,0
79,161130.SZ,20230926,20230922,2.4479,2.4479,,,,2.4479,0
80,161130.SZ,20230923,20230921,2.4468,2.4468,,,,2.4468,0
81,161130.SZ,20230922,20230920,2.4905,2.4905,,,,2.4905,0
82,161130.SZ,20230921,20230919,2.5251,2.5251,,,,2.5251,0
83,161130.SZ,20230920,20230918,2.5306,2.5306,,,,2.5306,0
84,161130.SZ,20230919,20230915,2.529,2.529,,,,2.529,0
85,161130.SZ,20230916,20230914,2.5756,2.5756,,,,2.5756,0
86,161130.SZ,20230915,20230913,2.556,2.556,,,,2.556,0
87,161130.SZ,20230914,20230912,2.55,2.55,,,,2.55,0
88,161130.SZ,20230913,20230911,2.5833,2.5833,,,,2.5833,0
89,161130.SZ,20230912,20230908,2.5546,2.5546,,,,2.5546,0
90,161130.SZ,20230909,20230907,2.5453,2.5453,,,,2.5453,0
91,161130.SZ,20230908,20230906,2.5627,2.5627,,,,2.5627,0
92,161130.SZ,20230907,20230905,2.5777,2.5777,,,,2.5777,0
93,161130.SZ,20230906,20230904,2.5752,2.5752,,,,2.5752,0
94,161130.SZ,20230905,20230901,2.5753,2.5753,,,,2.5753,0
95,161130.SZ,20230902,20230831,2.5778,2.5778,,,,2.5778,0
96,161130.SZ,20230901,20230830,2.5715,2.5715,,,,2.5715,0
97,161130.SZ,20230831,20230829,2.559,2.559,,,,2.559,0
98,161130.SZ,20230830,20230828,2.5081,2.5081,,,,2.5081,0
99,161130.SZ,20230829,20230825,2.4917,2.4917,,,,2.4917,0
100,161130.SZ,20230826,20230824,2.4722,2.4722,,,,2.4722,0
101,161130.SZ,20230825,20230823,2.528,2.528,,,,2.528,0
102,161130.SZ,20230824,20230822,2.4894,2.4894,,,,2.4894,0
103,161130.SZ,20230823,20230821,2.4937,2.4937,,,,2.4937,0
104,161130.SZ,20230822,20230818,2.4552,2.4552,,,,2.4552,0
105,161130.SZ,20230819,20230817,2.461,2.461,,,,2.461,0
106,161130.SZ,20230818,20230816,2.4834,2.4834,,,,2.4834,0
107,161130.SZ,20230817,20230815,2.5011,2.5011,,,,2.5011,0
108,161130.SZ,20230816,20230814,2.5248,2.5248,,,,2.5248,0
109,161130.SZ,20230815,20230811,2.4934,2.4934,,,,2.4934,0
110,161130.SZ,20230812,20230810,2.5086,2.5086,,,,2.5086,0
111,161130.SZ,20230811,20230809,2.5045,2.5045,,,,2.5045,0
112,161130.SZ,20230810,20230808,2.5305,2.5305,,,,2.5305,0
113,161130.SZ,20230809,20230807,2.5453,2.5453,,,,2.5453,0
114,161130.SZ,20230808,20230804,2.5257,2.5257,,,,2.5257,0
115,161130.SZ,20230805,20230803,2.5409,2.5409,,,,2.5409,0
116,161130.SZ,20230804,20230802,2.5393,2.5393,,,,2.5393,0
117,161130.SZ,20230803,20230801,2.591,2.591,,,,2.591,0
118,161130.SZ,20230802,20230731,2.598,2.598,,,,2.598,0
119,161130.SZ,20230801,20230728,2.5985,2.5985,,,,2.5985,0
120,161130.SZ,20230729,20230727,2.5508,2.5508,,,,2.5508,0
121,161130.SZ,20230728,20230726,2.5574,2.5574,,,,2.5574,0
122,161130.SZ,20230727,20230725,2.5711,2.5711,,,,2.5711,0
123,161130.SZ,20230726,20230724,2.5551,2.5551,,,,2.5551,0
124,161130.SZ,20230725,20230721,2.552,2.552,,,,2.552,0
125,161130.SZ,20230722,20230720,2.5589,2.5589,,,,2.5589,0
126,161130.SZ,20230721,20230719,2.6164,2.6164,,,,2.6164,0
127,161130.SZ,20230720,20230718,2.6176,2.6176,,,,2.6176,0
128,161130.SZ,20230719,20230717,2.5929,2.5929,,,,2.5929,0
129,161130.SZ,20230718,20230714,2.5698,2.5698,,,,2.5698,0
130,161130.SZ,20230715,20230713,2.5785,2.5785,,,,2.5785,0
131,161130.SZ,20230714,20230712,2.5453,2.5453,,,,2.5453,0
132,161130.SZ,20230713,20230711,2.52,2.52,,,,2.52,0
133,161130.SZ,20230712,20230710,2.5098,2.5098,,,,2.5098,0
134,161130.SZ,20230711,20230707,2.513,2.513,,,,2.513,0
135,161130.SZ,20230708,20230706,2.5228,2.5228,,,,2.5228,0
136,161130.SZ,20230707,20230705,2.5365,2.5365,,,,2.5365,0
137,161130.SZ,20230706,20230704,2.5399,2.5399,,,,2.5399,0
138,161130.SZ,20230705,20230703,2.5439,2.5439,,,,2.5439,0
139,161130.SZ,20230704,20230630,2.5428,2.5428,,,,2.5428,0
140,161130.SZ,20230720,20230630,2.5428,2.5428,,873246350.0,885106637.69,2.5428,1
141,161130.SZ,20230701,20230629,2.5029,2.5029,,,,2.5029,0
142,161130.SZ,20230630,20230628,2.5031,2.5031,,,,2.5031,0
143,161130.SZ,20230629,20230627,2.5,2.5,,,,2.5,0
144,161130.SZ,20230628,20230626,2.4575,2.4575,,,,2.4575,0
145,161130.SZ,20230627,20230621,2.4772,2.4772,,,,2.4772,0
146,161130.SZ,20230622,20230620,2.5022,2.5022,,,,2.5022,0
147,161130.SZ,20230621,20230619,2.4906,2.4906,,,,2.4906,0
148,161130.SZ,20230620,20230616,2.4939,2.4939,,,,2.4939,0
149,161130.SZ,20230617,20230615,2.5172,2.5172,,,,2.5172,0
150,161130.SZ,20230616,20230614,2.4918,2.4918,,,,2.4918,0
151,161130.SZ,20230615,20230613,2.4728,2.4728,,,,2.4728,0
152,161130.SZ,20230614,20230612,2.4446,2.4446,,,,2.4446,0
153,161130.SZ,20230613,20230609,2.4011,2.4011,,,,2.4011,0
154,161130.SZ,20230610,20230608,2.3998,2.3998,,,,2.3998,0
155,161130.SZ,20230609,20230607,2.3684,2.3684,,,,2.3684,0
156,161130.SZ,20230608,20230606,2.4044,2.4044,,,,2.4044,0
157,161130.SZ,20230607,20230605,2.3984,2.3984,,,,2.3984,0
158,161130.SZ,20230606,20230602,2.3982,2.3982,,,,2.3982,0
159,161130.SZ,20230603,20230601,2.3826,2.3826,,,,2.3826,0
160,161130.SZ,20230602,20230531,2.3483,2.3483,,,,2.3483,0
161,161130.SZ,20230601,20230530,2.3641,2.3641,,,,2.3641,0
162,161130.SZ,20230531,20230529,2.3471,2.3471,,,,2.3471,0
163,161130.SZ,20230530,20230526,2.3535,2.3535,,,,2.3535,0
164,161130.SZ,20230527,20230525,2.2896,2.2896,,,,2.2896,0
165,161130.SZ,20230526,20230524,2.2386,2.2386,,,,2.2386,0
166,161130.SZ,20230525,20230523,2.2421,2.2421,,,,2.2421,0
167,161130.SZ,20230524,20230522,2.2647,2.2647,,,,2.2647,0
168,161130.SZ,20230523,20230519,2.264,2.264,,,,2.264,0
169,161130.SZ,20230520,20230518,2.2563,2.2563,,,,2.2563,0
170,161130.SZ,20230519,20230517,2.2112,2.2112,,,,2.2112,0
171,161130.SZ,20230518,20230516,2.1773,2.1773,,,,2.1773,0
172,161130.SZ,20230517,20230515,2.18,2.18,,,,2.18,0
173,161130.SZ,20230516,20230512,2.1634,2.1634,,,,2.1634,0
174,161130.SZ,20230513,20230511,2.1588,2.1588,,,,2.1588,0
175,161130.SZ,20230512,20230510,2.1584,2.1584,,,,2.1584,0
176,161130.SZ,20230511,20230509,2.1344,2.1344,,,,2.1344,0
177,161130.SZ,20230510,20230508,2.1453,2.1453,,,,2.1453,0
178,161130.SZ,20230509,20230505,2.1392,2.1392,,,,2.1392,0
179,161130.SZ,20230506,20230504,2.095,2.095,,,,2.095,0
180,161130.SZ,20230505,20230428,2.142,2.142,,,,2.142,0
181,161130.SZ,20230429,20230427,2.1276,2.1276,,,,2.1276,0
182,161130.SZ,20230428,20230426,2.0738,2.0738,,,,2.0738,0
183,161130.SZ,20230427,20230425,2.0496,2.0496,,,,2.0496,0
184,161130.SZ,20230426,20230424,2.0869,2.0869,,,,2.0869,0
185,161130.SZ,20230425,20230421,2.0893,2.0893,,,,2.0893,0
186,161130.SZ,20230422,20230420,2.0942,2.0942,,,,2.0942,0
187,161130.SZ,20230421,20230419,2.1022,2.1022,,,,2.1022,0
188,161130.SZ,20230420,20230418,2.1053,2.1053,,,,2.1053,0
189,161130.SZ,20230419,20230417,2.1006,2.1006,,,,2.1006,0
190,161130.SZ,20230418,20230414,2.0973,2.0973,,,,2.0973,0
191,161130.SZ,20230415,20230413,2.1036,2.1036,,,,2.1036,0
192,161130.SZ,20230414,20230412,2.0692,2.0692,,,,2.0692,0
193,161130.SZ,20230413,20230411,2.0881,2.0881,,,,2.0881,0
194,161130.SZ,20230412,20230410,2.098,2.098,,,,2.098,0
195,161130.SZ,20230411,20230407,2.1022,2.1022,,,,2.1022,0
196,161130.SZ,20230408,20230406,2.0994,2.0994,,,,2.0994,0
197,161130.SZ,20230407,20230404,2.1038,2.1038,,,,2.1038,0
198,161130.SZ,20230405,20230403,2.1141,2.1141,,,,2.1141,0
199,161130.SZ,20230404,20230331,2.1166,2.1166,,,,2.1166,0
200,161130.SZ,20230421,20230331,2.1166,2.1166,,858413636.32,877118173.99,2.1166,1
201,161130.SZ,20230401,20230330,2.088,2.088,,,,2.088,0
202,161130.SZ,20230331,20230329,2.0664,2.0664,,,,2.0664,0
203,161130.SZ,20230330,20230328,2.0294,2.0294,,,,2.0294,0
204,161130.SZ,20230329,20230327,2.0381,2.0381,,,,2.0381,0
205,161130.SZ,20230328,20230324,2.0427,2.0427,,,,2.0427,0
206,161130.SZ,20230325,20230323,2.0469,2.0469,,,,2.0469,0
207,161130.SZ,20230324,20230322,2.0224,2.0224,,,,2.0224,0
208,161130.SZ,20230323,20230321,2.0504,2.0504,,,,2.0504,0
209,161130.SZ,20230322,20230320,2.0209,2.0209,,,,2.0209,0
210,161130.SZ,20230321,20230317,2.0248,2.0248,,,,2.0248,0
211,161130.SZ,20230318,20230316,2.0373,2.0373,,,,2.0373,0
212,161130.SZ,20230317,20230315,1.9727,1.9727,,,,1.9727,0
213,161130.SZ,20230316,20230314,1.9723,1.9723,,,,1.9723,0
214,161130.SZ,20230315,20230313,1.9408,1.9408,,,,1.9408,0
215,161130.SZ,20230314,20230310,1.9339,1.9339,,,,1.9339,0
216,161130.SZ,20230311,20230309,1.9602,1.9602,,,,1.9602,0
217,161130.SZ,20230310,20230308,1.9905,1.9905,,,,1.9905,0
218,161130.SZ,20230309,20230307,1.9706,1.9706,,,,1.9706,0
219,161130.SZ,20230308,20230306,1.9883,1.9883,,,,1.9883,0
220,161130.SZ,20230307,20230303,1.9913,1.9913,,,,1.9913,0
221,161130.SZ,20230304,20230302,1.945,1.945,,,,1.945,0
222,161130.SZ,20230303,20230301,1.9443,1.9443,,,,1.9443,0
223,161130.SZ,20230302,20230228,1.9635,1.9635,,,,1.9635,0
224,161130.SZ,20230301,20230227,1.9674,1.9674,,,,1.9674,0
225,161130.SZ,20230228,20230224,1.937,1.937,,,,1.937,0
226,161130.SZ,20230225,20230223,1.9719,1.9719,,,,1.9719,0
227,161130.SZ,20230224,20230222,1.9472,1.9472,,,,1.9472,0
228,161130.SZ,20230223,20230221,1.941,1.941,,,,1.941,0
229,161130.SZ,20230222,20230220,1.9891,1.9891,,,,1.9891,0
230,161130.SZ,20230221,20230217,1.9897,1.9897,,,,1.9897,0
231,161130.SZ,20230218,20230216,1.9988,1.9988,,,,1.9988,0
232,161130.SZ,20230217,20230215,2.0267,2.0267,,,,2.0267,0
233,161130.SZ,20230216,20230214,2.0101,2.0101,,,,2.0101,0
234,161130.SZ,20230215,20230213,1.997,1.997,,,,1.997,0
235,161130.SZ,20230214,20230210,1.9599,1.9599,,,,1.9599,0
236,161130.SZ,20230211,20230209,1.9718,1.9718,,,,1.9718,0
237,161130.SZ,20230210,20230208,1.9847,1.9847,,,,1.9847,0
238,161130.SZ,20230209,20230207,2.0257,2.0257,,,,2.0257,0
239,161130.SZ,20230208,20230206,1.9799,1.9799,,,,1.9799,0
240,161130.SZ,20230207,20230203,1.9864,1.9864,,,,1.9864,0
241,161130.SZ,20230204,20230202,2.0134,2.0134,,,,2.0134,0
242,161130.SZ,20230203,20230201,1.9582,1.9582,,,,1.9582,0
243,161130.SZ,20230202,20230131,1.9225,1.9225,,,,1.9225,0
244,161130.SZ,20230201,20230130,1.895,1.895,,,,1.895,0
245,161130.SZ,20230131,20230120,1.8539,1.8539,,,,1.8539,0
246,161130.SZ,20230121,20230119,1.8054,1.8054,,,,1.8054,0
247,161130.SZ,20230120,20230118,1.8207,1.8207,,,,1.8207,0
248,161130.SZ,20230119,20230117,1.833,1.833,,,,1.833,0
249,161130.SZ,20230118,20230116,1.8285,1.8285,,,,1.8285,0
250,161130.SZ,20230117,20230113,1.8326,1.8326,,,,1.8326,0
251,161130.SZ,20230114,20230112,1.8303,1.8303,,,,1.8303,0
252,161130.SZ,20230113,20230111,1.8237,1.8237,,,,1.8237,0
253,161130.SZ,20230112,20230110,1.7912,1.7912,,,,1.7912,0
254,161130.SZ,20230111,20230109,1.7925,1.7925,,,,1.7925,0
255,161130.SZ,20230110,20230106,1.7979,1.7979,,,,1.7979,0
256,161130.SZ,20230107,20230105,1.7534,1.7534,,,,1.7534,0
257,161130.SZ,20230106,20230104,1.7842,1.7842,,,,1.7842,0
258,161130.SZ,20230105,20230103,1.7842,1.7842,,,,1.7842,0
259,161130.SZ,20230102,20221231,1.8,1.8,,,,1.8,0
260,161130.SZ,20230120,20221231,1.8,1.8,,777385577.24,798207288.65,1.8,1
261,161130.SZ,20230104,20221230,1.8001,1.8001,,,,1.8001,0
262,161130.SZ,20221231,20221229,1.8053,1.8053,,,,1.8053,0
263,161130.SZ,20221230,20221228,1.7612,1.7612,,,,1.7612,0
264,161130.SZ,20221229,20221227,1.78,1.78,,,,1.78,0
265,161130.SZ,20221228,20221226,1.8117,1.8117,,,,1.8117,0
266,161130.SZ,20221227,20221223,1.8115,1.8115,,,,1.8115,0
267,161130.SZ,20221224,20221222,1.8047,1.8047,,,,1.8047,0
268,161130.SZ,20221223,20221221,1.8463,1.8463,,,,1.8463,0
269,161130.SZ,20221222,20221220,1.8263,1.8263,,,,1.8263,0
270,161130.SZ,20221221,20221219,1.8255,1.8255,,,,1.8255,0
271,161130.SZ,20221220,20221216,1.8511,1.8511,,,,1.8511,0
272,161130.SZ,20221217,20221215,1.8558,1.8558,,,,1.8558,0
273,161130.SZ,20221216,20221214,1.9216,1.9216,,,,1.9216,0
274,161130.SZ,20221215,20221213,1.9414,1.9414,,,,1.9414,0
275,161130.SZ,20221214,20221212,1.917,1.917,,,,1.917,0
276,161130.SZ,20221213,20221209,1.8957,1.8957,,,,1.8957,0
277,161130.SZ,20221210,20221208,1.9076,1.9076,,,,1.9076,0
278,161130.SZ,20221209,20221207,1.8952,1.8952,,,,1.8952,0
279,161130.SZ,20221208,20221206,1.8975,1.8975,,,,1.8975,0
280,161130.SZ,20221207,20221205,1.951,1.951,,,,1.951,0
281,161130.SZ,20221206,20221202,1.9878,1.9878,,,,1.9878,0
282,161130.SZ,20221203,20221201,2.0135,2.0135,,,,2.0135,0
283,161130.SZ,20221202,20221130,2.0258,2.0258,,,,2.0258,0
284,161130.SZ,20221201,20221129,1.9475,1.9475,,,,1.9475,0
285,161130.SZ,20221130,20221128,1.9515,1.9515,,,,1.9515,0
286,161130.SZ,20221129,20221125,1.9712,1.9712,,,,1.9712,0
287,161130.SZ,20221126,20221124,1.9807,1.9807,,,,1.9807,0
288,161130.SZ,20221125,20221123,1.9829,1.9829,,,,1.9829,0
289,161130.SZ,20221124,20221122,1.9747,1.9747,,,,1.9747,0
290,161130.SZ,20221123,20221121,1.937,1.937,,,,1.937,0
291,161130.SZ,20221122,20221118,1.9525,1.9525,,,,1.9525,0
292,161130.SZ,20221119,20221117,1.9415,1.9415,,,,1.9415,0
293,161130.SZ,20221118,20221116,1.9376,1.9376,,,,1.9376,0
294,161130.SZ,20221117,20221115,1.9655,1.9655,,,,1.9655,0
295,161130.SZ,20221116,20221114,1.9514,1.9514,,,,1.9514,0
296,161130.SZ,20221115,20221111,1.9957,1.9957,,,,1.9957,0
297,161130.SZ,20221112,20221110,1.9751,1.9751,,,,1.9751,0
298,161130.SZ,20221111,20221109,1.8402,1.8402,,,,1.8402,0
299,161130.SZ,20221110,20221108,1.8811,1.8811,,,,1.8811,0
300,161130.SZ,20221109,20221107,1.8715,1.8715,,,,1.8715,0
301,161130.SZ,20221108,20221104,1.859,1.859,,,,1.859,0
302,161130.SZ,20221105,20221103,1.8299,1.8299,,,,1.8299,0
303,161130.SZ,20221104,20221102,1.8576,1.8576,,,,1.8576,0
304,161130.SZ,20221103,20221101,1.9156,1.9156,,,,1.9156,0
305,161130.SZ,20221102,20221031,1.9262,1.9262,,,,1.9262,0
306,161130.SZ,20221101,20221028,1.9469,1.9469,,,,1.9469,0
307,161130.SZ,20221029,20221027,1.8881,1.8881,,,,1.8881,0
308,161130.SZ,20221028,20221026,1.9234,1.9234,,,,1.9234,0
309,161130.SZ,20221027,20221025,1.9659,1.9659,,,,1.9659,0
310,161130.SZ,20221026,20221024,1.9171,1.9171,,,,1.9171,0
311,161130.SZ,20221025,20221021,1.8975,1.8975,,,,1.8975,0
312,161130.SZ,20221022,20221020,1.8562,1.8562,,,,1.8562,0
313,161130.SZ,20221021,20221019,1.8631,1.8631,,,,1.8631,0
314,161130.SZ,20221020,20221018,1.8695,1.8695,,,,1.8695,0
315,161130.SZ,20221019,20221017,1.8564,1.8564,,,,1.8564,0
316,161130.SZ,20221018,20221014,1.7978,1.7978,,,,1.7978,0
317,161130.SZ,20221015,20221013,1.8524,1.8524,,,,1.8524,0
318,161130.SZ,20221014,20221012,1.8133,1.8133,,,,1.8133,0
319,161130.SZ,20221013,20221011,1.8135,1.8135,,,,1.8135,0
320,161130.SZ,20221012,20221010,1.8332,1.8332,,,,1.8332,0
321,161130.SZ,20221011,20220930,1.8399,1.8399,,,,1.8399,0
322,161130.SZ,20221026,20220930,1.8399,1.8399,,771548019.9,789828850.5,1.8399,1
323,161130.SZ,20221001,20220929,1.8728,1.8728,,,,1.8728,0
